Species,Long,Lat,log_LA.SA,Sample,Height,References,source_id,basis_of_record,entity,value_type
Brachychiton australis,145.75,-19.18333333,3.496209317,branch sample,,Choat et al. 2005,Choat_2005,field,population,mean
Cochlospermum gillivraei ,145.75,-19.18333333,3.244887734,branch sample,,Choat et al. 2005,Choat_2005,field,population,mean
Argyrodendron trifoliolatum ,145.5361111,-17.375,3.455931956,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Argyrodendron trifoliolatum ,145.5361111,-17.375,3.301029996,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Calamus australis ,145.5361111,-17.375,4,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Calamus australis ,145.5361111,-17.375,3.823908741,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Calamus caryotoides ,145.5361111,-17.375,3.638272164,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Calamus caryotoides ,145.5361111,-17.375,3.356547324,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Castanospora alphandii ,145.5361111,-17.375,3.886056648,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Castanospora alphandii ,145.5361111,-17.375,3.698970004,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Doryphora aromatica ,145.5361111,-17.375,3.853871964,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Doryphora aromatica ,145.5361111,-17.375,3.455931956,branch sample,,Drake and Franks 2003,Drake_2003,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.844663963,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.882728704,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.910094889,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.869666232,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.716698771,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.818156412,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.71219827,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.744727495,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.850780887,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.73754891,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.91721463,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.709965389,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.920818754,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.68613278,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.844663963,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.899629455,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.869666232,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.772113295,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.954677021,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.756961951,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.91721463,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
Eucalyptus gomphocelia,116.15,-32.15,3.732828272,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 1,116.15,-32.15,3.896196279,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 1,116.15,-32.15,3.847711656,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 1,116.15,-32.15,3.694648631,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 1,116.15,-32.15,3.718966633,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 1,116.15,-32.15,3.504455662,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 1,116.15,-32.15,3.838631998,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 1,116.15,-32.15,3.860120914,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 2,116.15,-32.15,3.826813732,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 2,116.15,-32.15,3.512861625,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 2,116.15,-32.15,3.974694135,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 2,116.15,-32.15,3.772113295,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 2,116.15,-32.15,3.850780887,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 2,116.15,-32.15,3.844663963,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
unk sp. 2,116.15,-32.15,3.821023053,branch sample,,Drake et al. 2011,Drake_2011,field,individual,raw
